term_str,n,p,i,n_chars,max_pos
quality,747,0.00974343589810479,6.681353674669567,7,NN
casting,721,0.009404306937795922,6.732462658217982,7,NNP
products,668,0.008713005595627845,6.842613814984752,8,NNS
castings,510,0.006652144990673954,7.231964670599947,8,NNS
aluminum,476,0.006208668657962357,7.331500344150861,8,NNP
contact,449,0.005856496276103147,7.415746472717657,7,NNP
services,419,0.005465193629592914,7.515511673759453,8,NNS
product,418,0.005452150208042574,7.518958975377922,7,NN
com,399,0.005204325198586093,7.586073171236459,3,NN
company,377,0.00491736992447859,7.66789739419014,7,NN
customers,373,0.004865196238277225,7.6832862872035665,9,NNS
information,373,0.004865196238277225,7.6832862872035665,11,NN
industry,373,0.004865196238277225,7.6832862872035665,8,NN
design,372,0.004852152816726883,7.687159296350773,6,NN
metal,368,0.0047999791305255194,7.7027561514017915,5,NN
alloys,349,0.004552154121069039,7.7792348812491525,6,NNP
process,346,0.004513023856418015,7.79168987982208,7,NN
manufacturing,346,0.004513023856418015,7.79168987982208,13,NN
die,341,0.00444780674866631,7.812690178434632,3,NNP
service,328,0.004278242268511876,7.868766102840721,7,NN
us,320,0.004173894896109147,7.904390012571442,2,NNP
years,319,0.0041608514745588064,7.908905493693935,5,NNS
parts,313,0.00408259094525676,7.936299260526186,5,NNS
industries,312,0.004069547523706418,7.940915888596556,10,NNPS
inc,296,0.003860852778900961,8.016864741829854,3,NNP
sand,293,0.0038217225142499383,8.031561253036557,4,NNP
production,287,0.0037434619849478915,8.061411180783116,10,NN
machining,285,0.0037173751418472095,8.0714999984067,9,NN
foundry,281,0.003665201455645845,8.091891787237879,7,NNP
team,272,0.0035478106616927754,8.138855266208465,4,NN
sales,262,0.0034173764461893643,8.192895105921354,5,NNS
customer,258,0.003365202759988,8.21509085203555,8,NN
cast,247,0.0032217251229342482,8.277950875874126,4,NNP
site,238,0.0031043343289811785,8.33150034415086,4,NN
precision,236,0.003078247485880496,8.343675058096963,9,NN
time,230,0.0029999869565784498,8.38082805651443,4,NN
solutions,228,0.0029739001134777674,8.393428093294062,9,NNS
brass,226,0.0029478132703770854,8.406139145043616,5,NNP
rights,225,0.0029347698488267444,8.412536916241768,6,NNS
bronze,221,0.00288259616262538,8.438415548067372,6,NNP
components,218,0.0028434658979743566,8.458133782681879,10,NNS
business,217,0.0028304224764240157,8.464766875014325,8,NN
steel,215,0.0028043356333233333,8.478125257869344,5,NN
experience,213,0.0027782487902226513,8.491608487232966,10,NN
capabilities,208,0.002713031682470946,8.525878389317713,12,NNS
zinc,206,0.0026869448393702635,8.539817580275585,4,NNP
email,205,0.0026739014178199226,8.546838007953358,5,NNP
equipment,205,0.0026739014178199226,8.546838007953358,9,NN
use,202,0.002634771153168899,8.56810662470701,3,NN
applications,196,0.002556510623866853,8.611608263343596,12,NNS
engineering,192,0.0025043369376654885,8.641355606737648,11,NN
system,189,0.002465206673014465,8.664075683237732,6,NN
cookies,189,0.002465206673014465,8.664075683237732,7,NNS
needs,189,0.002465206673014465,8.664075683237732,5,NNS
s,187,0.002439119829913783,8.679423647571168,1,NN
part,184,0.0023999895652627597,8.702756151401791,4,NN
machine,181,0.0023608593006117363,8.7264722203756,7,NN
aerospace,181,0.0023608593006117363,8.7264722203756,9,NNP
address,176,0.002295642192860031,8.766886488821507,7,NNP
range,175,0.00228259877130969,8.775106995626475,5,NN
details,175,0.00228259877130969,8.775106995626475,7,NNP
facility,173,0.0022565119282090076,8.79168987982208,8,NN
alloy,163,0.002126077712705597,8.877589953227726,5,NNP
cnc,163,0.002126077712705597,8.877589953227726,3,NNP
materials,163,0.002126077712705597,8.877589953227726,9,NNS
systems,159,0.0020739040265042325,8.913435152174449,7,NNS
machines,158,0.0020608606049538915,8.922537359281701,8,NNS
copper,154,0.002008686918752527,8.959531566763903,6,NN
phone,154,0.002008686918752527,8.959531566763903,5,NN
work,151,0.0019695566541015038,8.987913368133725,4,NN
copyright,150,0.001956513232551163,8.997499416962924,9,NNP
world,149,0.0019434698110008218,9.007149586996643,5,NN
requirements,147,0.0019173829679001396,9.02664576262244,12,NNS
quote,145,0.0018912961247994574,9.04640901744387,5,NNP
data,145,0.0018912961247994574,9.04640901744387,4,NNS
anodes,143,0.0018652092816987753,9.066446770680415,6,NNP
material,142,0.001852165860148434,9.076570987954122,8,NN
web,141,0.001839122438598093,9.08676675506001,3,NNP
control,141,0.001839122438598093,9.08676675506001,7,NN
magnets,138,0.00179999217394707,9.117793650680635,7,NNS
tool,138,0.00179999217394707,9.117793650680635,4,NNP
privacy,137,0.0017869487523967287,9.128286024498278,7,NN
technology,136,0.0017739053308463877,9.138855266208465,10,NN
â,136,0.0017739053308463877,9.138855266208465,1,NNP
get,135,0.0017608619092960465,9.149502510407974,3,NNP
terms,132,0.0017217316446450233,9.181923988100351,5,NNS
metals,130,0.0016956448015443412,9.20395029443035,6,NNS
please,129,0.001682601379994,9.21509085203555,6,NNP
mold,127,0.0016565145368933178,9.237633420686638,4,NN
policy,126,0.0016434711153429768,9.249038183958888,6,NN
website,126,0.0016434711153429768,9.249038183958888,7,NN
order,125,0.0016304276937926356,9.260533822796717,5,NN
today,125,0.0016304276937926356,9.260533822796717,5,NN
name,123,0.0016043408506919536,9.283803602119564,4,NN
australia,122,0.0015912974291416124,9.295580769895919,9,NNP
bearing,120,0.0015652105860409302,9.319427511850286,7,NN
ltd,117,0.001526080321389907,9.355953387875399,3,NNP
operations,116,0.0015130368998395659,9.368337112331233,10,NNS
